,,,,,,,,
Name,Capacity (MW),Transmission lines(m),Annual Revenue(USD),Capex(USD),NPV(USD),Decision,LCOE(KWh),
Babz1,3879.17,436.37,1750047400.38,4499833721.00,20165237323.00,Suport,0.11,
Babz2,3103.33,536.01,1400037649.62,3599866280.98,16132186748.00,Suport,0.11,
Babz3,4573.33,932.65,2063213449.62,5305066282.52,23773749709.00,Suport,0.11,
Babz4,3348.33,381.78,1510566949.62,3884066280.75,17405780576.00,Suport,0.11,
Babz5,3389.17,1301.88,1528988800.38,3931433722.60,17618049666.00,Suport,0.11,
Babz6,3185.00,1068.81,1436880900.00,3694600002.01,16556719751.00,Suport,0.11,
Babz7,4900.00,687.76,2210586000.00,5684000001.99,25471876540.00,Suport,0.11,
Babz8,4369.17,475.35,1971106000.38,5068233721.23,22712424977.00,Suport,0.11,
Babz9,3756.67,1033.91,1694782750.38,4357733722.29,19528440408.00,Suport,0.11,
Total,34504.17,6854.50,15566209900.38,40024833735.37,179364465698.00,,,